epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,497.245,1.23124,0.72807,1.22471,0.87763,0.79262,0.89014,0.49393,1.53214,0.86862,1.4678,0.0003764,0.0003764,0.0003764
43,508.413,1.22744,0.72041,1.21442,0.85778,0.80576,0.89593,0.49459,1.51168,0.8812,1.4269,0.0003368,0.0003368,0.0003368
44,519.883,1.21263,0.70376,1.20105,0.85267,0.81456,0.88929,0.48253,1.54713,0.87739,1.47263,0.0002972,0.0002972,0.0002972
45,531.146,1.19936,0.69251,1.18855,0.86445,0.82353,0.88923,0.48725,1.53773,0.86838,1.46922,0.0002576,0.0002576,0.0002576
46,542.323,1.19109,0.67686,1.19626,0.87747,0.79964,0.8905,0.49118,1.53273,0.8743,1.46678,0.000218,0.000218,0.000218
47,553.783,1.17846,0.67471,1.18974,0.85002,0.82353,0.89703,0.48569,1.54965,0.8651,1.46648,0.0001784,0.0001784,0.0001784
48,565.32,1.15547,0.65034,1.15997,0.88424,0.79962,0.89558,0.49594,1.53485,0.87584,1.45739,0.0001388,0.0001388,0.0001388
49,576.823,1.15013,0.65001,1.16291,0.87832,0.82054,0.89524,0.48828,1.55455,0.86831,1.47846,9.92e-05,9.92e-05,9.92e-05
50,588.366,1.14943,0.63862,1.16667,0.85998,0.82552,0.89931,0.49881,1.53322,0.87038,1.46043,5.96e-05,5.96e-05,5.96e-05
1,174.761,2.04441,3.15522,2.2159,0.15254,0.10169,0.07205,0.02508,nan,nan,nan,0.000666237,0.000666237,0.000666237
2,339.163,2.15499,3.45885,2.38686,0.00627,0.54337,0.02862,0.01041,nan,nan,nan,0.00131971,0.00131971,0.00131971
3,529.874,2.17945,3.47263,2.40962,0.11937,0.14528,0.05106,0.01936,nan,nan,nan,0.00195998,0.00195998,0.00195998
4,750.471,2.14182,3.33513,2.35914,0.24268,0.18345,0.11675,0.04886,nan,nan,nan,0.0019406,0.0019406,0.0019406
5,939.584,2.03589,3.16141,2.27397,0.34631,0.1994,0.2072,0.08853,nan,nan,nan,0.0019208,0.0019208,0.0019208
6,1108.18,1.99567,3.08997,2.24001,0.39447,0.18544,0.19775,0.08239,1.92618,2.75409,2.31626,0.001901,0.001901,0.001901
7,1274.09,1.93768,2.96571,2.21311,0.34585,0.25723,0.20154,0.08747,nan,nan,nan,0.0018812,0.0018812,0.0018812
8,1448.09,1.91785,2.92652,2.18538,0.32695,0.25523,0.19875,0.08995,nan,nan,nan,0.0018614,0.0018614,0.0018614
9,1622.8,1.88672,2.8884,2.12485,0.32449,0.28415,0.2423,0.10052,nan,nan,nan,0.0018416,0.0018416,0.0018416
10,1796.08,1.89462,2.77523,2.15002,0.40502,0.34596,0.30532,0.14059,nan,nan,nan,0.0018218,0.0018218,0.0018218
11,1967.92,1.87904,2.7962,2.15132,0.45448,0.27577,0.29945,0.13295,nan,nan,nan,0.001802,0.001802,0.001802
12,2131.04,1.84894,2.74418,2.0811,0.43466,0.29212,0.30805,0.14174,nan,nan,nan,0.0017822,0.0017822,0.0017822
13,2294.6,1.84603,2.66548,2.10585,0.44932,0.23928,0.26443,0.11832,nan,nan,nan,0.0017624,0.0017624,0.0017624
14,2458.14,1.82859,2.66032,2.09195,0.44171,0.34397,0.35714,0.17216,nan,nan,nan,0.0017426,0.0017426,0.0017426
15,2621.48,1.80876,2.57093,2.06909,0.39996,0.35494,0.31836,0.15158,nan,nan,nan,0.0017228,0.0017228,0.0017228
16,2784.52,1.83639,2.62273,2.0993,0.47118,0.37587,0.37436,0.17329,nan,nan,nan,0.001703,0.001703,0.001703
17,2947.17,1.77256,2.51395,2.02043,0.49679,0.39666,0.40457,0.19197,1.73346,2.25621,2.10868,0.0016832,0.0016832,0.0016832
18,3109.5,1.75455,2.46489,2.01309,0.5037,0.32784,0.34116,0.16844,nan,nan,nan,0.0016634,0.0016634,0.0016634
19,3272.96,1.75649,2.48102,2.01959,0.49873,0.35194,0.3648,0.17343,nan,nan,nan,0.0016436,0.0016436,0.0016436
20,3435.68,1.7487,2.38607,1.9971,0.50217,0.39781,0.40047,0.19364,nan,nan,nan,0.0016238,0.0016238,0.0016238
